timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
1784538541.7023134,70.3,24.23,35.62,53.39,71.8,34.72,53.91,20.69,62.45,62.67,73.85,59.71,75.27,27.98,22.54,51.51,63.06,64.76,47.12,45.23,64.6,48.06,42.41,78.3,53.65,42.0,43.86,40.75,50.81,22.28,74.93,48.52,50.32,74.97,38.09,73.0,42.7,50.55,66.17,75.01,26.27,64.95,47.6,47.22,46.37,29.06,57.87,67.48,25.58,66.28,77.36,79.23,41.08,76.2,78.43,49.82,44.47,53.34,29.54,24.63,31.3,29.14,66.41,30.57
1784538541.7127037,65.54,56.78,40.83,29.44,60.46,55.53,47.36,49.2,64.94,36.58,65.27,41.42,76.21,63.72,78.35,78.56,76.8,36.45,71.3,55.06,43.35,42.64,64.59,79.54,26.39,49.51,50.76,40.25,67.26,20.33,53.37,46.54,43.38,27.68,28.93,23.14,33.58,22.38,53.62,47.32,46.26,26.11,32.28,41.13,27.45,61.22,68.17,68.46,21.22,60.01,55.4,49.23,29.63,71.73,76.03,44.57,26.66,62.88,32.7,71.62,64.81,67.42,61.93,64.3
1784538541.7230315,53.97,33.9,66.53,66.37,53.44,62.28,43.04,62.34,21.8,66.11,23.13,44.97,74.08,70.98,67.21,49.61,66.56,73.33,49.68,63.64,58.66,35.42,59.67,62.12,53.05,70.81,40.91,40.19,22.53,44.4,56.77,50.62,23.71,73.8,38.2,32.93,55.79,21.9,70.09,55.23,50.35,72.72,50.14,71.33,34.43,41.11,71.09,21.03,21.78,29.34,29.28,66.33,35.39,38.56,37.41,24.06,34.46,31.14,41.78,20.87,68.82,76.7,31.44,63.05
1784538541.7336462,52.29,23.13,41.28,75.02,20.96,29.28,77.14,49.31,51.32,72.51,60.22,58.99,48.3,41.52,45.46,27.87,56.39,37.71,47.63,48.67,67.55,25.86,37.15,67.78,62.88,75.14,48.46,65.65,20.95,21.5,38.62,53.54,45.85,67.46,27.53,59.91,34.95,45.44,49.46,39.91,65.94,70.87,49.12,24.67,44.59,61.13,59.66,76.81,21.76,61.55,42.87,41.35,50.94,38.55,61.14,63.56,28.45,51.59,54.22,64.81,39.18,68.53,26.07,55.24
1784538541.7439528,23.81,59.88,47.15,24.21,51.51,62.45,26.92,37.63,70.45,32.83,79.15,42.75,49.7,39.09,50.16,57.55,45.52,22.01,51.0,29.27,34.35,34.46,41.79,39.68,67.87,32.44,29.18,23.67,50.37,53.13,64.51,59.26,61.14,43.15,73.06,33.04,59.1,25.37,50.95,55.79,30.89,39.0,41.89,33.0,23.99,27.34,66.63,57.07,79.32,23.36,65.55,39.9,40.78,79.7,29.8,33.86,38.0,34.67,62.19,74.32,41.73,43.74,75.06,71.44
1784538541.7542448,47.16,61.22,29.99,71.62,21.36,70.51,77.38,24.51,72.12,29.71,55.03,42.3,36.41,37.91,70.07,74.44,65.68,39.51,27.78,71.43,50.93,57.72,76.83,77.48,68.71,40.72,23.6,20.2,44.14,64.63,53.59,47.78,76.16,22.95,53.65,75.3,71.65,26.75,74.38,77.75,47.45,20.41,60.59,22.23,35.13,38.04,60.92,78.62,48.15,53.27,53.65,27.25,30.47,29.02,57.49,50.11,34.34,26.13,30.34,44.01,21.01,68.47,33.1,75.7
1784538541.764527,41.2,72.12,36.96,55.05,40.74,22.87,26.33,66.71,74.22,63.0,34.83,33.08,52.39,59.39,72.1,63.81,70.42,27.37,38.3,34.1,40.5,40.49,39.24,38.62,79.73,33.74,52.94,57.8,60.5,20.3,56.38,62.56,63.42,44.68,33.68,56.16,36.52,22.37,27.26,35.29,25.88,44.7,22.74,66.23,26.93,26.67,28.59,27.83,75.92,51.35,74.5,76.84,61.93,59.31,37.95,24.72,20.7,49.7,22.98,63.48,76.09,48.25,34.05,78.74
1784538541.7747457,32.18,46.15,49.14,42.95,69.05,33.84,59.66,37.03,43.82,79.43,54.1,33.05,64.82,77.8,20.11,70.81,51.53,62.97,21.82,61.45,76.79,49.73,51.64,51.92,61.89,70.44,65.95,21.71,71.42,38.54,23.82,53.13,41.05,77.06,44.58,32.17,28.49,77.36,68.22,21.83,43.53,43.83,78.93,62.31,51.03,32.58,68.43,58.06,32.04,22.11,40.98,73.69,56.85,29.5,30.69,30.06,49.34,72.09,37.06,78.38,20.6,36.27,73.13,24.04
1784538541.7851167,58.37,67.95,79.16,26.85,26.19,62.11,43.09,42.72,37.23,41.23,25.99,72.17,33.51,41.75,53.09,72.24,50.37,38.8,75.98,38.9,37.2,66.67,41.23,51.22,79.21,32.76,28.67,26.52,77.85,26.63,57.97,68.63,68.5,51.98,27.44,46.31,63.4,72.19,42.57,34.47,68.95,67.78,59.12,43.99,74.55,34.77,59.02,39.66,69.16,49.11,67.51,77.79,45.71,38.9,21.44,40.4,25.32,46.74,45.71,46.39,70.12,46.96,26.52,77.34
1784538541.7954338,50.05,79.37,77.88,64.59,38.62,51.79,35.41,56.09,58.89,55.72,66.14,63.28,31.59,46.23,63.87,43.64,36.49,38.02,67.83,49.53,53.25,69.14,22.01,37.52,57.14,34.95,60.2,47.26,37.61,47.56,38.58,74.88,55.35,49.95,43.38,51.86,29.43,21.52,46.9,52.73,68.73,69.95,78.26,27.21,20.47,57.06,79.68,79.69,53.32,44.97,40.0,32.64,26.53,70.68,59.16,33.44,43.29,46.25,42.88,79.3,21.88,44.52,52.17,72.95
